# x_m,y_m,z_m,rot_x,rot_y,rot_z,rot_w
2.944, -0.723, 0.000, 0.000, 0.000, 0.021, 1.000
6.250, -0.44, 0.000, 0.000, 0.000, 0.011, 1.000
8.772, -0.663, 0.000, 0.000, 0.000, 0.009, 1.000
10.833, -0.565, 0.000, 0.000, 0.000, 0.011, 1.000
13.781, -0.291, 0.000, 0.000, 0.000, 0.006, 1.000
16.139, -0.426, 0.000, 0.000, 0.000, 0.033, 0.999
18.970, -0.355, 0.000, 0.000, 0.000, 0.010, 1.000
24.272, -0.186, 0.000, 0.000, 0.000, 0.008, 1.000
27.057, 0.043, 0.000, 0.000, 0.000, -0.005, 1.000
30.123, 0.143, 0.000, 0.000, 0.000, -0.024, 1.000
32.715, 0.061, 0.000, 0.000, 0.000, -0.016, 1.000
35.275, -0.029, 0.000, 0.000, 0.000, -0.09, 1.000
37.926, 0.301, 0.000, 0.000, 0.000, -0.040, 0.999
40.552, 0.145, 0.000, 0.000, 0.000, -0.022, 1.000
43.164, 0.365, 0.000, 0.000, 0.000, -0.038, 0.999
46.103, 0.185, 0.000, 0.000, 0.000, -0.016, 1.000
49.693, 0.279, 0.000, 0.000, 0.000, 0.006, 1.000
53.120, -0.212, 0.000, 0.000, 0.000, 0.254, 0.967
54.164, 0.394, 0.000, 0.000, 0.000, 0.420, 0.908
55.045, 1.246, 0.000, 0.000, 0.000, 0.619, 0.785
55.417, 2.553, 0.000, 0.000, 0.000, 0.710, 0.704
55.417, 3.810, 0.000, 0.000, 0.000, 0.784, 0.621
55.185, 5.521, 0.000, 0.000, 0.000, 0.836, 0.548
53.863, 7.983, 0.000, 0.000, 0.000, 0.930, 0.368
52.053, 9.440, 0.000, 0.000, 0.000, 0.964, 0.267
50.198, 10.508, 0.000, 0.000, 0.000, 0.988, 0.157
47.461, 10.999, 0.000, 0.000, 0.000, 0.991, 0.134
45.373, 11.484, 0.000, 0.000, 0.000, 0.984, 0.177
42.934, 12.198, 0.000, 0.000, 0.000, 0.920, 0.391
41.773, 13.049, 0.000, 0.000, 0.000, 0.841, 0.541
40.683, 15.218, 0.000, 0.000, 0.000, 0.739, 0.673
40.497, 18.195, 0.000, 0.000, 0.000, 0.653, 0.758
40.915, 21.584, 0.000, 0.000, 0.000, 0.534, 0.845
42.541, 25.240, 0.000, 0.000, 0.000, 0.545, 0.838
44.235, 30.778, 0.000, 0.000, 0.000, 0.583, 0.813
45.846, 37.223, 0.000, 0.000, 0.000, 0.731, 0.683
45.301, 41.874, 0.000, 0.000, 0.000, 0.759, 0.651
44.599, 45.824, 0.000, 0.000, 0.000, 0.643, 0.766
45.639, 49.865, 0.000, 0.000, 0.000, 0.672, 0.741
46.236, 55.075, 0.000, 0.000, 0.000, 0.778, 0.629
45.119, 59.480, 0.000, 0.000, 0.000, 0.761, 0.648
44.313, 65.535, 0.000, 0.000, 0.000, 0.587, 0.810
45.768, 69.875, 0.000, 0.000, 0.000, 0.374, 0.927
48.029, 72.421, 0.000, 0.000, 0.000, 0.210, 0.978
53.574, 74.560, 0.000, 0.000, 0.000, 0.256, 0.967
56.850, 76.807, 0.000, 0.000, 0.000, 0.466, 0.885
59.082, 80.219, 0.000, 0.000, 0.000, 0.533, 0.846
61.433, 84.631, 0.000, 0.000, 0.000, 0.397, 0.918
66.317, 89.380, 0.000, 0.000, 0.000, 0.323, 0.946
71.767, 95.154, 0.000, 0.000, 0.000, 0.425, 0.905
74.615, 99.133, 0.000, 0.000, 0.000, 0.466, 0.885
77.386, 102.796, 0.000, 0.000, 0.000, 0.564, 0.826
79.861, 110.063, 0.000, 0.000, 0.000, 0.652, 0.759
79.937, 115.397, 0.000, 0.000, 0.000, 0.680, 0.733
80.707, 119.263, 0.000, 0.000, 0.000, 0.707, 0.707
81.031, 126.411, 0.000, 0.000, 0.000, 0.708, 0.707
80.820, 129.872, 0.000, 0.000, 0.000, 0.694, 0.720
80.637, 134.778, 0.000, 0.000, 0.000, 0.745, 0.668
80.787, 137.543, 0.000, 0.000, 0.000, 0.961, 0.275
79.409, 137.598, 0.000, 0.000, 0.000, 0.999, 0.041
76.011, 137.565, 0.000, 0.000, 0.000, 0.937, -0.349
74.015, 136.210, 0.000, 0.000, 0.000, -0.866, 0.501
70.393, 130.549, 0.000, 0.000, 0.000, 0.875, -0.484
65.361, 123.333, 0.000, 0.000, 0.000, 0.880, -0.475
63.420, 120.231, 0.000, 0.000, 0.000, 0.890, -0.456
61.359, 117.101, 0.000, 0.000, 0.000, 0.889, -0.458
57.720, 112.251, 0.000, 0.000, 0.000, 0.887, -0.461
54.194, 107.140, 0.000, 0.000, 0.000, 0.900, -0.436
50.353, 101.582, 0.000, 0.000, 0.000, 0.903, -0.430
44.821, 95.353, 0.000, 0.000, 0.000, 0.893, -0.449
40.608, 89.921, 0.000, 0.000, 0.000, 0.908, -0.418
37.567, 86.100, 0.000, 0.000, 0.000, 0.910, -0.414
32.914, 80.801, 0.000, 0.000, 0.000, 0.912, -0.410
29.590, 76.906, 0.000, 0.000, 0.000, 0.925, -0.381
25.514, 73.228, 0.000, 0.000, 0.000, 0.911, -0.412
21.745, 69.337, 0.000, 0.000, 0.000, 0.922, -0.387
18.063, 65.655, 0.000, 0.000, 0.000, 0.914, -0.405
15.840, 63.224, 0.000, 0.000, 0.000, -0.864, 0.503
14.742, 60.175, 0.000, 0.000, 0.000, -0.735, 0.678
14.485, 57.384, 0.000, 0.000, 0.000, -0.489, 0.872
16.243, 55.035, 0.000, 0.000, 0.000, -0.304, 0.953
20.150, 53.361, 0.000, 0.000, 0.000, -0.096, 0.995
28.721, 53.096, 0.000, 0.000, 0.000, -0.141, 0.990
30.911, 52.118, 0.000, 0.000, 0.000, -0.650, 0.760
31.307, 49.276, 0.000, 0.000, 0.000, -0.844, 0.537
30.725, 46.713, 0.000, 0.000, 0.000, 0.941, -0.338
28.093, 44.850, 0.000, 0.000, 0.000, 0.994, 0.112
24.459, 46.573, 0.000, 0.000, 0.000, 0.924, 0.383
19.939, 50.347, 0.000, 0.000, 0.000, 0.998, 0.068
15.723, 50.301, 0.000, 0.000, 0.000, 0.904, -0.428
13.580, 46.760, 0.000, 0.000, 0.000, -0.660, 0.751
14.232, 44.197, 0.000, 0.000, 0.000, -0.330, 0.944
17.959, 41.914, 0.000, 0.000, 0.000, -0.185, 0.983
22.921, 40.610, 0.000, 0.000, 0.000, -0.171, 0.985
27.254, 39.305, 0.000, 0.000, 0.000, -0.450, 0.893
30.096, 35.858, 0.000, 0.000, 0.000, -0.694, 0.720
29.956, 31.385, 0.000, 0.000, 0.000, -0.778, 0.628
28.861, 27.192, 0.000, 0.000, 0.000, -0.830, 0.558
26.858, 23.092, 0.000, 0.000, 0.000, 0.979, -0.206
22.898, 21.089, 0.000, 0.000, 0.000, 0.994, -0.111
14.698, 21.555, 0.000, 0.000, 0.000, 0.991, 0.133
11.344, 23.605, 0.000, 0.000, 0.000, 0.995, 0.101
8.595, 24.350, 0.000, 0.000, 0.000, 0.998, 0.060
7.360, 24.723, 0.000, 0.000, 0.000, 1.000, 0.029
3.307, 25.096, 0.000, 0.000, 0.000, 0.999, -0.046
-0.374, 23.791, 0.000, 0.000, 0.000, 0.892, -0.451
-3.449, 19.878, 0.000, 0.000, 0.000, 0.874, -0.486
-6.943, 13.448, 0.000, 0.000, 0.000, 0.875, -0.485
-9.948, 7.811, 0.000, 0.000, 0.000, -0.864, 0.504
-12.044, 3.991, 0.000, 0.000, 0.000, -0.550, 0.835
-11.043, 2.080, 0.000, 0.000, 0.000, -0.267, 0.964
-5.731, -0.063, 0.000, 0.000, 0.000, -0.053, 0.999
-1.119, -0.156, 0.000, 0.000, 0.000, 0.006, 1.000
4.169, 0.124, 0.000, 0.000, 0.000, -0.010, 1.000
